state,region,sex,marital_status,no_of_active_loan_in_bureau,avg_disbursement_amount_bureau,non_agriculture_income,total_land_for_agriculture,k022_village_category_based_on_agri_parameters_good_average_poor,k022_proximity_to_nearest_mandi_km,k022_proximity_to_nearest_railway_km,ko22_village_score_based_on_socio_economic_parameters_0_to_100,k022_village_category_based_on_socio_economic_parameters_good_average_poor,k022_seasonal_average_rainfall_mm,r022_village_category_based_on_agri_parameters_good_average_poor,r022_seasonal_average_rainfall_mm,k021_seasonal_average_rainfall_mm,r021_seasonal_average_rainfall_mm,r020_seasonal_average_rainfall_mm,perc_of_house_with_6plus_room,women_15_19_mothers_or_pregnant_at_time_of_survey,perc_of_pop_living_in_hh_electricity,perc_households_with_pucca_house_that_has_more_than_3_rooms,mat_roof_metal_gi_asbestos_sheets,perc_of_wall_material_with_burnt_brick,households_with_improved_sanitation_facility,perc_households_do_not_have_kcc_with_the_credit_limit_of_50k,k022_total_geographical_area_in_hectares,k022_net_agri_area_in_ha,k022_net_agri_area_of_total_geog_area,kharif_seasons_irrigated_area_in_2022,kharif_seasons_cropping_density_in_2022,kharif_seasons_agricultural_performance_in_2022,kharif_seasons_agricultural_score_in_2022,kharif_seasons_type_of_soil_in_2022,kharif_seasons_type_of_water_bodies_in_hectares_2022,kharif_seasons_agro_ecological_sub_zone_in_2022,kharif_seasons_seasonal_average_groundwater_thickness_cm_in_2022,kharif_seasons_seasonal_average_groundwater_replenishment_rate_cm_in_2022,rabi_seasons_season_irrigated_area_in_2022,rabi_seasons_cropping_density_in_2022,rabi_seasons_agricultural_performance_in_2022,rabi_seasons_agricultural_score_in_2022,rabi_seasons_type_of_soil_in_2022,rabi_seasons_type_of_water_bodies_in_hectares_2022,rabi_seasons_agro_ecological_sub_zone_in_2022,rabi_seasons_seasonal_average_groundwater_thickness_cm_in_2022,rabi_seasons_seasonal_average_groundwater_replenishment_rate_cm_in_2022,rabi_seasons_kharif_season_irrigated_area_in_2021,rabi_seasons_cropping_density_in_2021,rabi_seasons_agricultural_performance_in_2021,rabi_seasons_agricultural_score_in_2021,rabi_seasons_type_of_soil_in_2021,rabi_seasons_type_of_water_bodies_in_hectares_2021,rabi_seasons_agro_ecological_sub_zone_in_2021,rabi_seasons_seasonal_average_groundwater_thickness_cm_in_2021,rabi_seasons_seasonal_average_groundwater_replenishment_rate_cm_in_2021,kharif_seasons_kharif_season_irrigated_area_in_2021,kharif_seasons_cropping_density_in_2021,kharif_seasons_agricultural_performance_in_2021,kharif_seasons_agricultural_score_in_2021,kharif_seasons_type_of_soil_in_2021,kharif_seasons_type_of_water_bodies_in_hectares_2021,kharif_seasons_agro_ecological_sub_zone_in_2021,kharif_seasons_seasonal_average_groundwater_thickness_cm_in_2021,kharif_seasons_seasonal_average_groundwater_replenishment_rate_cm_in_2021,kharif_seasons_kharif_season_irrigated_area_in_2020,kharif_seasons_cropping_density_in_2020,kharif_seasons_agricultural_performance_in_2020,kharif_seasons_agricultural_score_in_2020,kharif_seasons_type_of_soil_in_2020,kharif_seasons_type_of_water_bodies_in_hectares_2020,kharif_seasons_agro_ecological_sub_zone_in_2020,kharif_seasons_seasonal_average_groundwater_thickness_cm_in_2020,kharif_seasons_seasonal_average_groundwater_replenishment_rate_cm_in_2020,rabi_seasons_kharif_season_irrigated_area_in_2020,rabi_seasons_cropping_density_in_2020,rabi_seasons_agricultural_performance_in_2020,rabi_seasons_agricultural_score_in_2020,rabi_seasons_type_of_soil_in_2020,rabi_seasons_type_of_water_bodies_in_hectares_2020,rabi_seasons_agro_ecological_sub_zone_in_2020,rabi_seasons_seasonal_average_groundwater_thickness_cm_in_2020,rabi_seasons_seasonal_average_groundwater_replenishment_rate_cm_in_2020,night_light_index,village_score_based_on_socio_economic_parameters_non_normalised,village_score_based_on_socio_economic_parameters_0_to_100,village_category_based_on_socio_economic_parameters_good_average_poor,land_holding_index_source_total_agri_area_no_of_people,road_density_km_sqkm,target_income,k022_ambient_temperature_min_max_min,k022_ambient_temperature_min_max_max,k022_ambient_temperature_min_max_range,r022_ambient_temperature_min_max_min,r022_ambient_temperature_min_max_max,r022_ambient_temperature_min_max_range,r021_ambient_temperature_min_max_min,r021_ambient_temperature_min_max_max,r021_ambient_temperature_min_max_range,k021_ambient_temperature_min_max_min,k021_ambient_temperature_min_max_max,k021_ambient_temperature_min_max_range,r020_ambient_temperature_min_max_min,r020_ambient_temperature_min_max_max,r020_ambient_temperature_min_max_range,location_latitude,location_longitude
MADHYA PRADESH,CENTRAL,M,S,2,127500.0,12418000,6.0,Poor,18.8,41.0,31.05563083627594,Poor,1805.08,Poor,66.25,1254.41,234.05,76.09,4.31,5.1,98.4,2.3,8.96,41.79,65.1,7.3,564.25,243.99,43.24,61.63,40.27,11.75,21.78,Deep Black soils (with shallow and medium Black Soils as inclusion),['reservoir'],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,97.75,27.86,63.67,62.65,10.82,17.96,Deep Black soils (with shallow and medium Black Soils as inclusion),['reservoir'],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,93.01,17.15,69.21,63.44,6.59,26.76,Deep Black soils (with shallow and medium Black Soils as inclusion),['reservoir'],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,91.46,16.58,63.67,62.65,5.52,15.0,Deep Black soils (with shallow and medium Black Soils as inclusion),['reservoir'],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,96.15,30.28,69.21,63.44,12.34,23.24,Deep Black soils (with shallow and medium Black Soils as inclusion),['reservoir'],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,95.25,23.2,67.82,68.25,9.04,17.88,Deep Black soils (with shallow and medium Black Soils as inclusion),['reservoir'],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,98.23,25.6,0.92,20.8552219032793,31.05563083627594,Poor,0.143168975654409,0.0,14000000,23.21,30.56,7.349999999999998,15.38,28.12,12.74,15.57,28.86,13.29,23.32,30.13,6.809999999999999,15.29,27.15,11.86,23.5179515,77.8128998
TELANGANA,SOUTH,M,M,1,80000.0,33858000,22.0,Poor,6.7,17.1,40.5493438923646,Poor,2351.03,Poor,69.16,1351.88,61.71,208.7,0.71,5.8,99.6,5.78,17.92,48.02,76.2,2.06,596.63,141.93,23.79,40.08,50.12,8.7,14.74,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,93.89,42.86,9.25,68.67,5.91,5.19,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,80.33,22.96,4.02,53.29,8.3,9.84,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,80.65,29.68,9.25,68.67,5.54,4.53,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,82.36,31.8,4.02,53.29,4.78,3.46,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,84.76,35.03,6.14,43.57,3.12,3.26,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,79.62,22.12,0.95,26.7132102390015,40.5493438923646,Poor,0.154503494371993,0.0,37620000,23.45,29.74,6.289999999999999,19.74,30.64,10.900000000000002,19.41,31.16,11.75,23.32,29.25,5.93,20.14,30.09,9.95,18.9667237,78.3526009
MADHYA PRADESH,CENTRAL,M,M,2,0.0,2965000,5.0,Poor,5.0,4.3,42.30991934707064,Average,1463.1,Poor,125.58,1322.49,131.67,96.9,0.84,6.72,97.23,2.97,0.76,6.52,55.47,5.97,956.95,611.4,63.89,73.13,51.99,17.34,28.28,Mixed Red and Black Soils,[None],NORTHERN PLAIN (AND CENTRAL HIGHLANDS) INCLUDING ARAVALLIS  HOT SEMI-ARID EGO-REGION,90.5,18.29,25.25,26.58,11.6,12.02,Mixed Red and Black Soils,[None],NORTHERN PLAIN (AND CENTRAL HIGHLANDS) INCLUDING ARAVALLIS  HOT SEMI-ARID EGO-REGION,89.34,12.07,72.28,69.28,21.81,35.8,Mixed Red and Black Soils,[None],NORTHERN PLAIN (AND CENTRAL HIGHLANDS) INCLUDING ARAVALLIS  HOT SEMI-ARID EGO-REGION,87.54,12.19,25.25,26.58,1.39,7.07,Mixed Red and Black Soils,[None],NORTHERN PLAIN (AND CENTRAL HIGHLANDS) INCLUDING ARAVALLIS  HOT SEMI-ARID EGO-REGION,89.67,23.02,73.69,84.6,16.95,26.94,Mixed Red and Black Soils,[None],NORTHERN PLAIN (AND CENTRAL HIGHLANDS) INCLUDING ARAVALLIS  HOT SEMI-ARID EGO-REGION,91.29,12.76,64.78,66.5,23.94,24.78,Mixed Red and Black Soils,[None],NORTHERN PLAIN (AND CENTRAL HIGHLANDS) INCLUDING ARAVALLIS  HOT SEMI-ARID EGO-REGION,91.44,18.5,0.9,27.7995534238961,42.30991934707064,Average,1.06850751485495,0.0,10000000,23.45,30.71,7.260000000000002,14.56,27.08,12.519999999999998,15.28,28.58,13.299999999999999,23.9,31.03,7.130000000000003,14.7,26.48,11.780000000000001,25.4262604,77.6761569
MADHYA PRADESH,CENTRAL,M,M,4,0.0,41900000,10.0,Poor,10.5,35.5,37.91230516965388,Average,1895.8,Poor,104.9,1060.04,126.99,51.46,2.25,2.2,99.6,8.08,17.07,41.91,69.6,15.45,1506.8,1070.63,71.05,74.36,62.09,12.25,27.71,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,99.51,26.67,75.25,83.24,22.14,27.87,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,95.78,16.35,51.43,57.84,33.14,35.79,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,93.87,16.81,75.25,83.24,29.83,29.78,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,96.89,27.53,51.43,57.84,28.96,27.64,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,96.7,22.46,63.4,57.77,16.44,22.5,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,101.63,28.35,0.88,25.0860553010734,37.91230516965388,Average,1.99807774853965,2.73,50000000,22.91,30.13,7.219999999999999,17.07,29.27,12.2,17.11,29.82,12.71,22.92,29.62,6.699999999999999,16.92,28.36,11.439999999999998,,
MADHYA PRADESH,CENTRAL,M,M,19,258578.947368421,18100000,20.0,Poor,5.3,18.8,42.79213600756612,Average,2053.08,Poor,57.64,1146.93,159.41,118.58,1.26,1.71,99.3,2.68,4.13,22.76,69.67,9.63,1799.36,562.47,31.26,84.94,56.31,14.03,29.71,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,101.81,32.9,59.05,37.33,16.51,20.57,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,93.81,19.55,86.01,69.51,13.79,35.62,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,92.25,19.03,59.05,37.33,10.06,16.93,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,98.87,32.57,86.01,69.51,4.91,25.47,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,98.74,28.21,37.93,39.92,10.21,13.45,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,99.61,27.83,0.95,28.0970997638565,42.79213600756612,Average,0.289226323313142,1.86,25000000,23.35,30.55,7.199999999999999,15.94,28.51,12.570000000000002,15.98,29.11,13.129999999999999,23.35,30.05,6.699999999999999,15.76,27.48,11.72,23.3360288,77.7825337
MADHYA PRADESH,CENTRAL,M,M,10,69411.5,11525000,7.0,Average,14.9,13.1,33.44921507901788,Poor,2246.31,Average,63.91,1141.05,191.84,94.58,3.29,5.08,98.42,2.78,6.77,36.34,65.14,8.45,1106.56,899.58,81.3,67.54,43.2,40.12,37.68,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,102.29,29.85,92.06,73.14,38.32,38.1,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,95.79,16.84,91.51,48.36,20.22,38.89,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,94.68,17.7,92.06,73.14,17.86,27.39,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,99.34,29.9,91.51,48.36,39.39,41.37,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,99.99,26.48,91.41,59.6,24.35,30.71,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,100.95,25.95,0.95,22.3321560060599,33.44921507901788,Poor,1.95978388741231,0.0,15000000,23.23,30.74,7.509999999999998,15.49,28.61,13.12,15.24,28.83,13.589999999999998,23.32,30.2,6.879999999999999,15.56,27.71,12.15,,
MADHYA PRADESH,CENTRAL,M,M,0,,52960000,6.0,Poor,9.8,35.1,37.99618971807647,Average,1360.52,Poor,120.35,1053.8,133.91,164.19,2.17,6.7,97.2,4.88,0.4,52.46,55.5,2.03,583.69,229.69,39.35,58.88,49.62,9.03,19.91,Mixed Red and Black Soils,[None],NORTHERN PLAIN (AND CENTRAL HIGHLANDS) INCLUDING ARAVALLIS  HOT SEMI-ARID EGO-REGION,78.24,20.64,77.76,54.29,2.06,16.41,Mixed Red and Black Soils,[None],NORTHERN PLAIN (AND CENTRAL HIGHLANDS) INCLUDING ARAVALLIS  HOT SEMI-ARID EGO-REGION,77.39,13.75,76.84,55.86,3.38,26.55,Mixed Red and Black Soils,[None],NORTHERN PLAIN (AND CENTRAL HIGHLANDS) INCLUDING ARAVALLIS  HOT SEMI-ARID EGO-REGION,74.87,12.78,77.76,54.29,5.22,17.47,Mixed Red and Black Soils,[None],NORTHERN PLAIN (AND CENTRAL HIGHLANDS) INCLUDING ARAVALLIS  HOT SEMI-ARID EGO-REGION,77.72,24.87,76.84,55.86,37.78,35.16,Mixed Red and Black Soils,[None],NORTHERN PLAIN (AND CENTRAL HIGHLANDS) INCLUDING ARAVALLIS  HOT SEMI-ARID EGO-REGION,75.43,17.03,94.45,40.0,30.08,31.71,Mixed Red and Black Soils,[None],NORTHERN PLAIN (AND CENTRAL HIGHLANDS) INCLUDING ARAVALLIS  HOT SEMI-ARID EGO-REGION,79.43,19.99,0.76,25.1378153135473,37.99618971807647,Average,0.895896715812466,0.0,59000000,23.97,31.11,7.140000000000001,15.0,27.36,12.36,15.53,28.61,13.08,24.29,31.38,7.09,14.9,26.25,11.35,,
MADHYA PRADESH,CENTRAL,M,M,1,371700.0,66000000,10.0,Poor,16.9,17.0,31.88997203075292,Poor,2033.17,Poor,33.17,969.6,128.92,283.5,1.62,3.58,98.92,5.67,3.84,26.88,77.01,5.64,182.95,151.64,82.89,51.07,73.26,39.42,31.26,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,102.07,34.34,85.27,61.49,15.44,23.92,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,90.46,15.74,87.38,74.73,13.7,35.23,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,91.54,23.61,85.27,61.49,17.52,23.85,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,92.14,23.11,87.38,74.73,27.28,33.51,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,97.5,26.87,90.6,30.71,20.26,26.44,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,96.21,16.41,0.85,21.3700427069399,31.88997203075292,Poor,0.670706355875979,14.14,78000000,24.35,30.9,6.549999999999997,19.58,31.09,11.510000000000002,19.42,31.9,12.479999999999997,24.16,30.47,6.309999999999999,19.67,30.5,10.829999999999998,21.945945945945947,78.8487647072378
MADHYA PRADESH,CENTRAL,M,M,6,1074842.5,12464500,3.0,Average,14.9,13.1,33.44921507901788,Poor,2246.31,Average,63.91,1141.05,191.84,94.58,3.29,5.08,98.42,2.78,6.77,36.34,65.14,8.45,1106.56,899.58,81.3,67.54,43.2,40.12,37.68,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,102.29,29.85,92.06,73.14,38.32,38.1,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,95.79,16.84,91.51,48.36,20.22,38.89,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,94.68,17.7,92.06,73.14,17.86,27.39,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,99.34,29.9,91.51,48.36,39.39,41.37,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,99.99,26.48,91.41,59.6,24.35,30.71,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,100.95,25.95,0.95,22.3321560060599,33.44921507901788,Poor,1.95978388741231,0.0,14000000,23.23,30.74,7.509999999999998,15.49,28.61,13.12,15.24,28.83,13.589999999999998,23.32,30.2,6.879999999999999,15.56,27.71,12.15,,
MADHYA PRADESH,CENTRAL,M,M,2,0.0,8772500,11.0,Poor,35.2,32.7,15.99597281950603,Poor,2153.28,Poor,93.76,1153.51,99.48,213.21,0.73,2.4,98.1,2.22,0.9,17.7,59.8,1.69,558.9,158.13,28.29,39.04,41.64,48.63,32.09,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,89.39,34.91,34.54,43.08,0.84,7.49,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,78.45,20.74,5.85,26.52,0.53,4.53,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,77.24,23.28,34.54,43.08,5.86,9.43,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,84.57,31.68,5.85,26.52,0.34,2.14,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,88.14,31.26,6.62,33.24,1.27,2.51,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,86.04,26.14,0.96,11.5628301403299,15.99597281950603,Poor,0.144622279129321,18.13,10000000,22.68,29.3,6.620000000000001,17.17,29.17,12.0,17.26,30.24,12.979999999999997,22.74,29.02,6.280000000000001,16.98,28.2,11.219999999999999,,
GUJARAT,WEST,M,M,1,281404.0,150000,10.0,Poor,24.3,35.0,25.18635297501658,Poor,1822.27,Poor,167.1,739.84,103.41,88.78,0.54,5.0,97.8,3.93,46.72,72.04,84.6,1.47,394.51,327.75,83.08,42.04,61.34,35.4,27.61,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS ( MALWA )  GUJARAT PLAIN AND KATHIAWAR PENINSULA  SEMI-ARID ECO-REGION,97.65,24.44,59.53,67.84,32.09,27.44,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS ( MALWA )  GUJARAT PLAIN AND KATHIAWAR PENINSULA  SEMI-ARID ECO-REGION,95.25,14.17,55.96,55.47,26.79,31.83,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS ( MALWA )  GUJARAT PLAIN AND KATHIAWAR PENINSULA  SEMI-ARID ECO-REGION,93.42,17.62,59.53,67.84,25.15,22.74,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS ( MALWA )  GUJARAT PLAIN AND KATHIAWAR PENINSULA  SEMI-ARID ECO-REGION,92.51,20.95,55.96,55.47,10.85,19.52,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS ( MALWA )  GUJARAT PLAIN AND KATHIAWAR PENINSULA  SEMI-ARID ECO-REGION,95.8,21.06,20.05,39.25,29.63,17.84,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS ( MALWA )  GUJARAT PLAIN AND KATHIAWAR PENINSULA  SEMI-ARID ECO-REGION,100.38,23.25,0.91,17.2336503382614,25.18635297501658,Poor,0.27214753676379,0.0,150000,22.94,29.66,6.719999999999999,18.25,30.05,11.8,18.85,30.71,11.86,22.94,29.4,6.459999999999997,18.3,29.16,10.86,23.3979038,72.661328
MADHYA PRADESH,CENTRAL,M,M,2,832855.5,8952000,4.0,Poor,4.7,38.6,42.85740552010778,Average,1828.24,Poor,30.83,1006.94,190.95,131.83,0.75,1.7,99.3,0.76,0.75,16.45,69.6,5.35,893.92,102.014,11.41,71.57,47.04,4.52,20.71,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,100.2,28.8,78.28,60.52,5.17,17.59,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,93.62,16.01,78.0,61.82,4.5,27.46,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,92.78,17.67,78.28,60.52,8.41,18.51,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,96.25,27.24,78.0,61.82,1.74,20.82,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,98.27,27.12,64.59,67.98,3.59,14.45,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,97.13,23.46,0.93,28.1373735788421,42.85740552010778,Average,0.05980251860332,0.0,10000000,22.97,30.06,7.09,16.39,28.87,12.48,16.28,29.0,12.719999999999999,22.98,29.57,6.59,16.02,27.49,11.469999999999999,23.5031149,78.4056703
MADHYA PRADESH,CENTRAL,M,M,0,,17040000,25.0,Average,9.7,6.5,38.20445145506407,Poor,1976.51,Average,83.71,1089.49,210.81,71.24,1.4,5.1,98.4,4.91,1.88,21.87,65.1,13.31,1030.02,838.72,81.43,68.03,43.22,43.39,39.08,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,99.89,25.97,92.62,93.21,46.56,41.99,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,94.97,15.18,96.26,64.26,22.47,42.34,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,93.8,15.84,92.62,93.21,31.12,32.93,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,97.22,26.84,96.26,64.26,49.44,46.42,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,97.72,22.94,97.07,74.39,28.41,33.48,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,99.14,23.01,0.95,25.2663208644148,38.20445145506407,Poor,0.912962076022119,0.0,19000000,23.34,30.95,7.609999999999999,15.09,28.48,13.39,14.86,28.62,13.760000000000002,23.47,30.5,7.030000000000001,15.31,27.71,12.4,,
